NO.;JUDUL BUKU;PENGARANG;PENERBIT;TEMPAT TERBIT;TAHUN;ISBN;JILID;EDISI;CET.;JUMLAH HAL.;RAK BUKU;JUMLAH BUKU;TINGGI BUKU             (cm);NOMOR PANGGIL;INISIAL;PEROLEHAN;HARGA;KET;;No. Induk
501;HUKUM LINGKUNGAN DAN EKOLOGI PEMBANGUNAN;N.H.T. SIAHAAN;ERLANGGA;Jakarta;2004;979-741-053-6;;2.,;;2004;1G;;25;344.046;SIA;;;ADA;;
502;HUKUM MEREK // CARA MUDAH MEMPELAJARI UNDANG-UNDANG MEREK;Dr. AHMADI MIRU, S.H., M.S.;PT. Rajagrafindo Persada;Jakarta;2007;;;;;;7B;;;;;;;;;
503;HUKUM MEREK INDONESIA;Prof. Mr. Dr. SUDARGO GAUTAMA;ALUMNI;Bandung;1977;;;;;;7B;;;;;;;;;
504;HUKUM MERK INDONESIA;Prof. Mr. Dr. SUDARGO GAUTAMA;PT. Citra Aditya Bakti;Bandung;1989;;;;;;7B;;;;;;;ada;;
505;HUKUM MINYAK DAN GAS BUMI;RUDI M. SIMAMORA;DJAMBATAN;Jakarta;2000;;;;;;6E;;;;;;;ada;;
506;HUKUM NOTARIAT DI INDONESIA // SUATU PENJELASAN;R. SOEGONDO NOTODISOERJO;CV. RAJAWALI;Jakarta;1982;;;1.,;;;7E;;;;;;;ada;;
507;HUKUM NOTARIAT DI INDONESIA // SUATU PENJELASAN;R. SOEGONDO NOTODISOERJO;CV. RAJAWALI;Jakarta;1993;;;1.,;2.-;;7E;;;;;;;ada;;
508;HUKUM ORANG DAN KELUARGA//PERSPEKTIF HUKUM PERDATA BARAT/BW, HUKUM ISLAM DAN HUKUM ADAT;SOEDHARYO SOIMIN, S.H.;Sinar Grafika;Jakarta;2004;979-8767-86-1;;rev.,;2.-;x, 117;3D;;20,5;347;SOI;;;ada;;
509;HUKUM ORGANISASI PERUSAHAAN//POLA KEMITRAAN DAN BADAN HUKUM;Dr. JOHANNES IBRAHIM, S.H., M.Hum.;PT. REFIKA ADITAMA;Bandung;2006;979-3304-59-6;;;1.-;ix, 144;3E;;24;658.1;IBR;B;115.000;ada;;
510;Hukum Pajak;Erly Suandy;Salemba Empat;Jakarta;2009;;;4.,;;;5F;;;343.4;SUA;S;;ada;;
511;Hukum Pajak;Erly Suandy;Salemba Empat;Jakarta;2011;;;5.,;;;5F;;;343.04;SUA;;;ada;;
512;HUKUM PASAR MODAL INDONESIA;HAMUD M. BALFAS, S.H., LL.M.;PT. TATANUSA;Jakarta;2006;979-3999-08-X;;;1.-;xi, 516;3E;;24;346.092 2;BAL;B;202.000;ada;;
513;HUKUM PATEN DAN PERUNDANG-UNDANGAN PATEN INDONESIA;CHAIRUL ANWAR, S.H.;DJAMBATAN;Jakarta;1992;;;;;;7B;;;;;;;ada;;
514;HUKUM PEMBEBASAN TANAH // PP R.I. NO. 36 TAHUN 2005 TENTANG PENGADAAN TANAH BAGI PELAKSANAAN PEMBANGUNAN UNTUK KEPENTINGAN UMUM;--;PUSTAKA YUSTISIA;Yogyakarta;2006;;;;;;4B;;;;;;;ada;;
515;HUKUM PEMBUKTIAN;Prof. R. SUBEKTI, S.H.;PT. PRADNYA PARAMITA;Jakarta;2003;979-408-131-0;;;14.-;vii, 84;2C;;21;347.06;SUB;;;ada;;
516;HUKUM PEMBUKTIAN;Prof. R. SUBEKTI, S.H.;PT. PRADNYA PARAMITA;Jakarta;2005;979-408-131-0;;;15.-;vii, 84;2C;;21;347.06;SUB;B;172.000;ADA;;
517;HUKUM PEMBUKTIAN DALAM ACARA PERDATA;TEGUH SAMUDERA, S.H.;PT. ALUMNI;Bandung;2004;979-414-213-1;;1.,;2.-;x, 216;3A;;20,5;347.6;SAM;S;;;;
518;HUKUM PEMBUKTIAN DALAM BERACARA PIDANA, PERDATA DAN KORUPSI DI INDONESIA;ALFITRA, S.H., M.H.;RAIH ASA SUKSES;Jakarta;2011;978-979-013-162-0;;;1.-;iv,188;2B;2;20;345.06;ALF;S;;ADA;;
519;HUKUM PEMBUKTIAN DALAM BERACARA PIDANA, PERDATA DAN KORUPSI DI INDONESIA;ALFITRA, S.H., M.H.;RAIH ASA SUKSES;Jakarta;2012;978-979-013-162-0;;;3.-;iv, 188;2B;3;20;345.06;ALF;S;;ADA;;
520;HUKUM PEMBUKTIAN DALAM PERADILAN PIDANA;Dr. H. SYAIFUL BAKHRI, S.H., M.H.;TOTAL MEDIA;Yogyakarta;2009;979-8823-09-5;;;1.-;xiv, 343;2D;;23;345.6;BAK;;;ADA;;
521;HUKUM PEMBUKTIAN DALAM PERKARA PERDATA // UNTUK MAHASISWA DAN PRAKTISI;"Drs. HARI SASANGKA, S.H., M.H.; LILY ROSITA, S.H., M.H.";CV. MANDAR MAJU;Bandung;2003;979-538-237-3;;;1.-;xii, 224;6C;;21;345.06;SAS;S;;ADA;;
522;HUKUM PEMBUKTIAN DALAM PERKARA PERDATA // UNTUK MAHASISWA DAN PRAKTISI;Drs. HARI SASANGKA, S.H., M.H.;CV. MANDAR MAJU;Bandung;2005;979-538-270-5;;;1.-;xiii, 390;3C;2;21;345.06;SAS;S;;ADA;;
523;HUKUM PEMBUKTIAN // TEORI-PRAKTIK DAN YURISPRUDENSI INDONESIA;Dr. H.P. PANGGABEAN, S.H., M.S.;PT. ALUMNI;Bandung;2012;;;;1.-;;6C;3;;345.06;PAN;S;;ADA;;
524;HUKUM PEMBUKTIAN TINDAK PIDANA KORUPSI;Drs. ADAMI CHAZAWI, S.H.;PT. ALUMNI;Bandung;2008;979-41-4012-0;;2.,;1.-;xvii, 370;2B;;20,5;345;CHA;B;181.450;ADA;;
525;HUKUM PENATAAN RUANG DAN PENATAGUNAAN TANAH//DALAM KONTEKS UUPA-UUPR-UUPLH;HASNI, S.H., M.H.;PT. Rajagrafindo Persada;Jakarta;2008;978-979-769-186-8;;1.,;1.-;xvi, 476;3E;;21;346.044;HAS;S;;ADA;;
526;Hukum Pengangkutan Niaga;Prof. Abdulkadir Muhammad, S.H.;PT. Citra Aditya Bakti;Bandung;2017;978-979-491-042-9;;;;;3F;;;380;MUH;S;;ada;;
527;HUKUM PENITENSIA DI INDONESIA;S.R. SIANTURI, S.H. - MOMPANG L. PANGGABEAN, S.H.;ALUMNI AHAEM-PETEHAEM;Jakarta;1996;979-8961-04-8;;;;viii, 204;2E;;19,5;345;SIA;B;;ADA;;
528;HUKUM PENITENSIER INDONESIA;Drs. P.A.F. LAMINTANG, S.H.;CV. ARMICO;Bandung;1988;;;;3.-;316;2E;;20,5;345;LAM;H;;ADA;;
529;HUKUM PENYIARAN;Dr. JUDHARIKSAWAN, S.H., M.H.;RAJAWALI PERS;Jakarta;2010;;;;;;7G;;;;;;;;;
530;HUKUM PERBANKAN;Dr. SENTOSA SEMBIRING, S.H., M.H.;CV. MANDAR MAJU;Bandung;2008;;;;;;7E;;;;;;;;;
531;Hukum Perbankan;Dr. Trisadini P. Usanti & Prof. Dr. Abd. Shomad;Kencana;Jakarta;2020;978-602-422-054-9;;;2.-;;7E;;;347,078;USA;S;;ada;;
532;HUKUM PERBANKAN DI INDONESIA;Drs. MUHAMMAD DJUMHANA, S.H.;PT. Citra Aditya Bakti;Bandung;2003;;;;;;7E;;;;;;;;;
533;Hukum Perbankan Modern / Berdasarkan UU Tahun 1998 (Buku Kesatu);Munir Fuady, S.H., M.H., LL.M.;PT. Citra Aditya Bakti;Bandung;1999;979-414-797-4;;;;;7E;;;703;FUA;s;;ada;;
534;HUKUM PERBANKAN SYARIAH (UU NO. 21 TAHUN 2008);Prof. Dr. ABDUL GHOFUR ANSHORI, S.H., M.H.;PT. REFIKA ADITAMA;Bandung;2009;;;;;;7E;;;;;;;;;
535;HUKUM PERBURUHAN;ADRIAN SUTEDI, S.H., M.H.;Sinar Grafika;Jakarta;2009;978-979-007-058-6;;1.,;1.-;xii, 392;3C;;23;344.01;SUT;;;ADA;;
536;HUKUM PERBURUHAN;ADRIAN SUTEDI, S.H., M.H.;Sinar Grafika;Jakarta;2011;978-979-007-058-6;;1.,;2.-;xii, 392;3C;;23;344.01;SUT;;;ADA;;
537;HUKUM PERBURUHAN BIDANG KESEHATAN KERJA (PERLINDUNGAN BURUH);Prof. IMAN SOEPOMO, S.H.;PT. PRADNYA PARAMITA;Jakarta;1983;;;;5.-;148;3C;;20,5;344;SOE;;;ADA;;
538;HUKUM PERBURUHAN DI INDONESIA BERLANDASKAN PANCASILA;G. KARTASAPOETRA , R.G. KARTASAPOETRA, S.H., Ir. A.G. KARTASAPOETRA;Sinar Grafika;Jakarta;1994;979-8061-60-2;;;4,-;xv, 449;3C;;20,5;344.1;KAR;;;ADA;;
539;HUKUM PERBURUHAN PANCASILA BIDANG PELAKSANAAN KERJA;GUNAWI KARTASAPOETRA , ABAS KUSTANDI, S.H. , et al.;CV. ARMICO;Bandung;1983;;;;;320;3C;;20,5;344;KAR;;;ADA;;
540;HUKUM PERBURUHAN PERJANJIAN KERJA;DJUMADI, S.H., M.Hum.;PT. Rajagrafindo Persada;Jakarta;2008;979-421-312-8;;2.,;7.-;xiv, 176;3F;2;21;344.01;DJU;;;ADA;;
541;HUKUM PERDATA DALAM PERSPEKTIF BW;DJAJA S. MELIALA, S.H., M.H.;NUANSA AULIA;Bandung;2012;978-979-071-171-6;;rev.,;1,-;x, 262;3A;2;20,5;346.001;MEL;S;;ADA;;
542;HUKUM PERDATA DAN HUKUM TATA USAHA NEGARA DALAM TEORI & PRAKTEK;T. BOESTOMI, S.H.;PT. ALUMNI;Bandung;1994;979-414-497-5;;1.,;1,-;viii, 119;3A;;20,5;346.001;BOE;S;;ADA;;
543;HUKUM PERDATA//HUKUM PERUTANGAN (BAGIAN B);NY. SRI SOEDEWI MASJCHOEN SOFWAN, S.H.;SEKSI HUKUM PERDATA FH. UGM;Yogyakarta;1980;;;;;viii, 132;3F;;21;346.7;MAS;;;ADA;;
544;HUKUM PERDATA INTERNASIONAL INDONESIA (JILID DUA/BAGIAN DUA/BUKU KETIGA);Prof. Mr. Dr. SUDARGO GAUTAMA;PT. ALUMNI;Bandung;1973;;;;2.-;192;1F;;21,5;347.07;GAU;;;ADA;;
545;HUKUM PERDATA INTERNASIONAL INDONESIA (JILID II/BAGIAN 3 BUKU KE-4);Prof. Mr. Dr. SUDARGO GAUTAMA;PT. ALUMNI;Bandung;1998;979-414-152-6;2;2.,;1.-;xiv, 376;1F;;21;347;GAU;B;;ADA;;
546;HUKUM PERDATA INTERNASIONAL INDONESIA (JILID II/BAGIAN III/BUKU KE-4);Prof. Mr. Dr. SUDARGO GAUTAMA;PT. ALUMNI;Bandung;2004;979-414-152-9;2;2.,;2,-;xiv, 376;1F;;21;347;GAU;S;;ADA;;
547;HUKUM PERDATA INTERNASIONAL INDONESIA (JILID II/BAGIAN 4/BUKU KE-5);Prof. Mr. Dr. SUDARGO GAUTAMA;PT. ALUMNI;Bandung;2004;979-414-206-9;2;2.,;3,-;xii, 362;1F;;21;347;GAU;S;;ADA;;
548;HUKUM PERDATA INTERNASIONAL INDONESIA (JILID II/BAGIAN 5/BUKU KE-6);Prof. Mr. Dr. SUDARGO GAUTAMA;PT. ALUMNI;Bandung;2004;979-414-320-0;2;2.,;2,-;xii, 234;1F;;21;347;GAU;S;;ADA;;
549;HUKUM PERDATA INTERNASIONAL INDONESIA (JILID III/BAGIAN I/BUKU KE-7);Prof. Mr. Dr. SUDARGO GAUTAMA;PT. ALUMNI;Bandung;2010;979-414-321-9;;2.,;3.-;528;1F;;20,5;341;GAU;S;;ADA;;
550;HUKUM PERDATA INTERNASIONAL INDONESIA (JILID III/BAGIAN I/BUKU KE-7);Prof. Mr. Dr. SUDARGO GAUTAMA;PT. ALUMNI;Bandung;2004;979-414-321-9;;2.,;2,-;xvi, 528;1F;;20,5;341;GAU;S;;ADA;;
551;HUKUM PERDATA INTERNASIONAL INDONESIA (JILID III/BAGIAN 2/BUKU KE-8);Prof. Mr. Dr. SUDARGO GAUTAMA;PT. ALUMNI;Bandung;2004;979-414-322-7;3;1.,;5,-;x, 364;1F;;20,5;347;GAU;S;;ADA;;
552;HUKUM PERDATA ISLAM DI INDONESIA;Prof. Dr. H. ZAINUDDIN ALI, M.A.;Sinar Grafika;Jakarta;2006;979-3421-08-8;;;1.-;160;1E;;23;297;ALI;;30.000;ADA;;
553;HUKUM PERDATA ISLAM DI INDONESIA (STUDI KRITIS PERKEMBANGAN HUKUM ISLAM DARI FIQIH, UU NO.1/1974 SAMPAI KHI);Dr. H. AMIUR NURUDDIN, M.A. & Drs. AZHARI AKMAL TARIGAN, M.Ag.;Kencana;Jakarta;2004;979-3465-39-5;;1.,;;332;1E;;21;297.42;NUR;S;;ADA;;
554;HUKUM PERIKANAN//DILENGKAPI HUKUM PERIKATAN DALAM ISLAM;WAWAN MUHWAN HARIRI, S.H.;CV. PUSTAKA SETIA;Bandung;2011;978-979-076-177-3;;;1.-;358;3D;;23;346.02;HAR;S;;ADA;;
555;HUKUM PERIKANAN INDONESIA;Ir. H. DJOKO TRIBAWONO, M.Si.;PT. Citra Aditya Bakti;Bandung;2002;;;;;;7G;2;;;;;;;;
556;HUKUM PERJANJIAN;Prof. SUBEKTI, S.H.;PT. INTERMASA;Jakarta;2002;979-8114-32-9;;;19;viii, 108;3F;;21;346.02;SUB;B;;ADA;;
557;HUKUM PERJANJIAN ISLAM DI INDONESIA (KONSEP, REGULASI DAN IMPLEMENTASI);ABDUL GHOFUR ANSHORI;GADJAH MADA UNIVERSITY PRESS;Jakarta;2010;979-420-715-2;;;1.-;230;1E;;21;340.59;ANS;S;;ADA;;
558;HUKUM PERJANJIAN KERJA;WIWOHO SOEDJONO, S.H.;PT. BINA AKSARA;Jakarta;1983;;;1.,;1.-;88;3F;;20,5;344;SOE;;;ADA;;
559;HUKUM PERJANJIAN KREDIT BANK;H.M. HAZNIEL HARUN, S.H.;YAYASAN TRITURA '66;Jakarta;1991;;;;2.-;86;3F;;20;346.07;HAR;S;;ADA;;
560;HUKUM PERJANJIAN // TEORI DAN ANALISA KASUS;SUHARNOKO, S.H. , MLI.;Kencana;Jakarta;2012;979-3456-53-0;;1.,;7.-;xii, 168;3F;;20,5;346.02;SUH;S;;ADA;;
561;HUKUM PERKAWINAN ADAT // DENGAN ADAT ISTIADAT DAN UPACARA ADATNYA;Prof. H. HILMAN HADIKUSUMA, S.H.;PT. Citra Aditya Bakti;Bandung;2003;;;;;;6C;;;346.1;HAD;;;;;
562;HUKUM PERKAWINAN, HUKUM KEWARISAN, HUKUM ACARA PERADILAN AGAMA DAN ZAKAT MENURUT HUKUM ISLAM;MOHD. IDRIS RAMULYO, S.H., M.H.;Sinar Grafika;Jakarta;2004;;;;;;7A;;;;;;;;;
563;HUKUM PERKAWINAN ISLAM;AHMAD AZHAR BASYIR, M.A.;BAGIAN PENERBITAN FH-UII;Yogyakarta;1985;;;;;;7A;;;;;;;;;
564;HUKUM PERKREDITAN KONTEMPORER;MUNIR FUADY, S.H., M.H., LL.M.;PT. Citra Aditya Bakti;Bandung;2002;979-414-747-8;;;2.-;416;1B;2;21;332.7;FUA;B;;ADA;;
565;HUKUM PERLINDUNGAN KONSUMEN;"AHMADI MIRU ; SUTARMAN YODO";PT. Rajagrafindo Persada;Jakarta;2004;;;;;;5C;;;;;;;;;
566;HUKUM PERS;Prof. Dr. H. SAMSUL WAHIDIN, S.H., M.S.;PUSTAKA PELAJAR;Yogyakarta;2006;;;;;;6A;;;345.5;;;;;;
567;HUKUM PERSAINGAN USAHA;ARIE SISWANTO;GHALIA INDONESIA;Jakarta;2004;979-450-449-1;;;;;6E;;;684;;;;;;
568;Hukum Perselisihan [ Conflictenrecht ];Prof. Dr. H. Eman Suparman, S.H., M.H.;Kencana;Jakarta;2018;978-602-422-688-6;;;1.-;;5B;;;340,9;SUP;S;;ada;;
569;HUKUM PERTAMBANGAN;ADRIAN SUTEDI, S.H., M.H.;Sinar Grafika;Jakarta;2012;978-979-007-395-1;;;2.-;363;1G;;23;345;SUT;S;;ADA;;
570;HUKUM PERTAMBANGAN // MINERAL & BATUBARA;Dr. H. SALIM HS., S.H., M.S.;Sinar Grafika;Jakarta;2012;;;;1.-;;1G;;;;;;;;;
571;HUKUM PERTANAHAN INDONESIA;I WAYAN SUANDRA, S.H.;PT. Rineka Cipta;Jakarta;1994;979-518-066-5;;;2.-;v, 383;3E;;20,5;346.43;SUA;S;;ADA;;
572;HUKUM PERUSAHAAN DALAM PARADIGMA HUKUM BISNIS (BERDASARKAN UNDANG-UNDANG NOMOR 40 TAHUN 2007);Dr. MUNIR FUADY, S.H., M.H., LL.M.;PT. Citra Aditya Bakti;Bandung;2008;979-414-808-3;;;3.-;xvi, 364;3E;;21;343.9;FUA;;;ADA;;
573;HUKUM PERUSAHAAN INDONESIA;Prof. ABDULKADIR MUHAMMAD, S.H.;PT. Citra Aditya Bakti;Bandung;2006;979-414-798-2;;rev.,;3.-;xii, 622;3E;;20,5;346.43;MUH;;;ADA;;
574;HUKUM PERUSAHAAN INDONESIA;Prof. ABDULKADIR MUHAMMAD, S.H.;PT. Citra Aditya Bakti;Bandung;2010;978-979-414-798-6;;rev.,;4.-;xvi, 654;3E;2;20,5;343.08;MUH;;;ADA;;
575;HUKUM PERUSAHAAN TENTANG PERSEROAN TERBATAS;Dr. SENTOSA SEMBIRING, S.H., M.H.;CV. NUANSA AULIA;Bandung;2007;979-3944-84-6;;;2.-;176;3E;;19,5;346.065;SEM;S;;ADA;;
576;Hukum Pidana;Prof. Dr. A. ZAINAL ABIDIN FARID, S.H.;Sinar Grafika;Jakarta;1995;979-8061-78-0;1;;1.-;448;2A;;20,5;345;FAR;B;;ADA;;
577;Hukum Pidana;Prof. Dr. Mr. H.A. ZAINAL ABIDIN FARID, S.H.;Sinar Grafika;Jakarta;2010;979-8061-78-0;1;;3.-;xiv, 448;2A;;21;345;FAR;S;;ADA;;
578;Hukum Pidana;Prof. Dr. TEGUH PRASETYO, S.H., M.Si.;RAJAWALI PERS;Jakarta;2010;978-979-769-295-7;;1.,;1.-;xiv, 194;2C;;21;345;PRA;;;ada;;
579;Hukum Pidana;Mr. Drs. E. Utrecht;Balai Lektur Mahasiswa;Bandung;1958;;1;;;;5B;2;;345;;;;ada;;
580;Hukum Pidana;Mr. Drs. E. Utrecht;Balai Lektur Mahasiswa;Bandung;1958;;2;;;;5B;2;;345;;;;ada;;
581;Hukum Pidana;Prof. Satochid Kartanegara, S.H.;Balai Lektur Mahasiswa;Bandung;1958;;1;;;;5B;2;;345;;;;ada;;
582;Hukum Pidana;Prof. Satochid Kartanegara, S.H.;Balai Lektur Mahasiswa;Bandung;1958;;2;;;;5B;2;;345;;;;ada;;
583;HUKUM PIDANA 2//HUKUM PENITENTIER;Mr. J.M. VAN BEMMELEN;BINACIPTA;Bandung;1991;;;;2.-;ix, 177;2E;2;24;345;BEM;;;ada;;
584;HUKUM PIDANA ADAT DALAM KAITANNYA DENGAN PENUNTUTAN PIDANA;ALBOIN PANGARIBUAN, S.H. - B.D. SRIMARSITA, S.H. & Drs. ILHAM GUNAWAN;PUSLITBANG KEJAGUNG R.I.;Jakarta;1999;979-9272-01-7;;;;122;2A;;21;345;PAN;S;;ada;;
585;HUKUM PIDANA ANAK;Dr. WAGIATI SOETODJO, S.H., M.S.;PT. REFIKA ADITAMA;Bandung;2006;;;;;;6E;;;;;;;ada;;
586;HUKUM PIDANA DI INDONESIA (UNTUK FAKULTAS SYARIAH KOMPONEN MKK);PIPIN SYARIFIN, S.H.;CV. PUSTAKA SETIA;Bandung;2000;;;;1.-;499;2A;;21;345;SYA;;;ADA;;
587;HUKUM PIDANA EKONOMI;EDI SETIADI, RENA YULIA;GRAHA ILMU;Yogyakarta;2010;978-979-756-585-5;;1.,;1.-;208;2A;;23;340;SET;S;;ADA;;
588;HUKUM PIDANA INDONESIA (SUATU PENGANTAR);ERDIANTO EFFENDI,S.H., M.Hum.;PT.REFIKA ADITAMA;Bandung;2011;978-602-8650-40-3;;;1.-;249;2D;;24;345;EFF;;;ADA;;
589;HUKUM PIDANA INTERNASIONAL DAN EKSTRADISI;I WAYAN PARTHIANA;CV. YRAMA WIDYA;Bandung;2003;979-543-097-1;;;1.-;404;1F;;24;341.77;PAR;S;;ADA;;
590;HUKUM PIDANA INTERNASIONAL (EKSTRADISI);Prof.Dr.SUMARYO SURYOKUSUMO,SH,LL.M;PT. TATANUSA;Jakarta;2010;978-979-3999-58-6;;;1.-;253;1F;;21;341.1;SUR;;;ADA;;
591;HUKUM PIDANA (KOMENTAR ATAS PASAL-PASAL TERPENTING DARI KUHP BELANDA DAN PADANANNYA DALAM KUHP INDONESIA);JAN REMMELINK;PT. Gramedia Pustaka Utama;Jakarta;2003;;;;;636;2A;;24;348;REM;;;ADA;;
592;HUKUM PIDANA KORUPSI DI INDONESIA;MAHRUS ALI, S.H., M.H.;UII-PRESS;Yogyakarta;2011;979-3333-88-X;;;1.-;xiv, 206;2B;;23;345.001;ALI;S;;ADA;;
593;Hukum Pidana Korupsi Di Indonesia (Edisi Revisi);Adami Chazawi;Rajawali Pers;Jakarta;2016;978-979-769-930-7;;;;;2B;;;345.2;CHA;s;;ada;;
594;HUKUM PIDANA MATERIIL;TONGAT, S.H., M.Hum.;UMM PRESS;Malang;2003;979-3021-68-3;;1.,;2.-;110;2A;;21;345;TON;s;;ada;;
595;Hukum Pidana Militer Di Indonesia;E.Y. Kanter, S.H. & S.R. Sianturi, S.H.;Alumni AHM-PTHM;Jakarta;2012;;;;;;2F;;;343,01;KAN;s;;ada;;
596;Hukum Pidana Militer Di Indonesia;MOCH. FAISAL SALAM, S.H., M.H.;CV. MANDAR MAJU;Bandung;2006;979-538-285-3;;;1.-;ix, 397;2F;2;21;343.01;SAL;B/S;;ada;;
597;HUKUM PIDANA PENGEMBANGAN;Prof. OEMAR SENO ADJI, S.H.;PENERBIT ERLANGGA;Jakarta;1985;;;;1.-;vii, 264;2C;;21;345;ADJ;;;ada;;
598;HUKUM PIDANA UMUM DAN TERTULIS DI INDONESIA;FRANS MARAMIS, S.H., M.H.;RAJAWALI PERS;Jakarta;2012;978-979-769-439-5;;1.,;1.-;319;2A;;20,5;345;MAR;S;;ada;;
599;HUKUM SEBAGAI PANGLIMA;CHARLES HIMAWAN; PENERBIT BUKU KOMPAS;Jakarta;2006;979-709-072-8;;;2.-;219;2A;;21;340.1;HIM;;;ada;;
600;HUKUM TATA LINGKUNGAN;KOESNADI HARDJASOEMANTRI;GADJAH MADA UNIVERSITY PRESS;Yogyakarta;1990;979-420-168-5;;5.,;7.-;614;1G;2;22;304.2;HAR;S;;ada;;
601;HUKUM TATA NEGARA;Prof. Dr. M. SOLLY LUBIS, S.H.;CV. MANDAR MAJU;Bandung;1992;979-538-030-3;;;5.-;xiv, 212;3G;;20,5;342;LUB;;;ada;;*ATK
602;HUKUM TATA NEGARA & HUKUM ADMINISTRASI NEGARA // DALAM PERSPEKTIF FIKIH SIYASAH;Prof. Dr. H. AHMAD SUKARDJA, S.H., M.H.;Sinar Grafika;Jakarta;2012;978-979-007-475-0;;;1.-;xxiv, 262;3G;;23;342;SUK;S;;ada;;
603;HUKUM TATA NEGARA DARURAT DI INDONESIA;Prof. Mr. HERMAN SIHOMBING;DJAMBATAN;Jakarta;1996;979-428-265-0;;;;viii, 184;3G;;21;342;SIH;;;ada;;
604;HUKUM TATA NEGARA INDONESIA;Dr. NI'MATUL HUDA, S.H., M.Hum.;RAJAWALI PERS;Jakarta;2010;979-769-012-1;;rev.,;5.-;xiv, 370;3G;;21;342;HUD;;;ADA;;
605;HUKUM TATA NEGARA INDONESIA;Dr. NI'MATUL HUDA, S.H., M.Hum.;RAJAWALI PERS;Jakarta;2012;978-979-769-012-1;;rev.,;6.-;xiv, 388;3G;;21;342;HUD;;;ADA;;
606;HUKUM TATA NEGARA, KEWARGANEGARAAN & HAK ASASI MANUSIA (MEMAHAMI PROSES KONSOLIDASI SISTEM DEMOKRASI DI INDONESIA);B. HESTU CIPTO HANDOYO, S.H., M.Hum.;UNIVERSITAS ATMA JAYA YOGYAKARTA;Yogyakarta;2003;979-9243-35-1;;1.,;1.-;xi, 332;3G;;23;342;HAN;B;;ADA;;
607;HUKUM TATA NEGARA REPUBLIK INDONESIA 2;"Prof. Drs. C.S.T. KANSIL, S.H. ; CHRISTINE S.T. KANSIL, S.H., M.H.";PT. Rineka Cipta;Jakarta;2003;979-518-457-1;;rev.,;2.-;ix, 208;3G;;23,5;342;KAN;S;;ADA;;
608;HUKUM TATA NEGARA//PROYEK PERCONTOHAN OTONOMI DAERAH, PELETAKAN TITIK BERAT OTONOMI DAERAH PADA DAERAH TINGKAT II DAN REKOMENDASI KEBIJAKAN SERTA PELAKSANAAN OTONOMI DAERAH;Prof. SOEHINO, S.H.;BPFE-YOGYAKARTA;Yogyakarta;2003;979-503-438-3;;1.,;1.-;xii, 196;3G;;23;342;SOE;B;;ADA;;
609;HUKUM TATA NEGARA SESUDAH PEMILIHAN UMUM 1971;Dr. MOH. TOLCHAH MANSOER, S.H.;PRADNYA PARAMITA;Jakarta;1978;;;;;241;3G;;20,5;342;MAN;S;;ADA;;
610;HUKUM TATA PEMERINTAHAN INDONESIA;Drs. C.S.T. KANSIL, S.H.;GHALIA INDONESIA;Jakarta;1984;;;;1.-;495;3G;;20,5;342;KAN;;;ADA;;*ATK
611;HUKUM TATA RUANG DALAM KONSEP KEBIJAKAN OTONOMI DAERAH;"Ir. H. JUNIARSO RIDWAN, M.Si., M.H. ; ACHMAD SODIK, S.H., M.H.";NUANSA;Bandung;2008;978-602-8023-03-0;;;1,-;266;3A;;23,5;346.044;RID;S;;ADA;;
612;HUKUM TELEKOMUNIKASI, PENYIARAN & TEKNOLOGI INFORMASI (REGULASI & KONVERGENSI);Dr. DANRIVANTO BUDHIJANTO, S.H., LL.M in IT Law;PT. REFIKA ADITAMA;Bandung;2010;978-602-8650-18-2;;;1.-;388;1D;;24;384;BUD;B;;ADA;;
613;HUKUM TENTANG AKUISISI, TAKE OVER DAN LBO;Dr. MUNIR FUADY, S.H., M.H., LL.M.;PT. Citra Aditya Bakti;Bandung;2004;979-414-840-7;;;2.-;xvi, 378;3E;;20,5;333.1;FUA;B;;ADA;;
614;HUKUM TENTANG MERGER;MUNIR FUADY, S.H., M.H., LL.M.;PT. Citra Aditya Bakti;Bandung;2002;979-414-818-0;;;2.-;xii, 324;3E;;21;658;FUA;S;;ADA;;
615;HUKUM UDARA INDONESIA & INTERNASINAL;E. SUHERMAN, S.H.;ALUMNI;Bandung;1983;;;;;;7F;;;;;;;;;
616;Hukum Waris;Effendi Perangin, S.H.;;;;;;1;5;x, 232;;;;346.05;PER;;;ADA;;
617;Hukum Waris Islam;K.H. AHMAD AZHAR BASYIR, M.A.;UII-PRESS;Bandung;2001;979-8413-41-5;;;16;;1E;;;297.432;BAS;;;ADA;;
618;HUKUM WARIS ISLAM;Prof. Dr. H.R. OTJE SALMAN S., S.H. - MUSTOFA HAFFAS, S.H.;PT. REFIKA ADITAMA;Bandung;2002;979-96055-4-7;;;1.-;180;1E;;24;346.5;SAL;B;;ADA;;
619;HUKUM WARIS ISLAM (LENGKAP & PRAKTIS);SUHRAWARDI K. LUBIS, S.H. - KOMIS SIMANJUNTAK, S.H.;Sinar Grafika;Jakarta;2008;979-007-047-0;;2.,;2.-;253;1E;;20,5;346.5;LUB;;;ADA;;
620;HUMANISME DALAM ISLAM;Prof. Dr. MARCEL A. BOISARD;BULAN BINTANG;Jakarta;1980;;;;1.-;484;1E;;20,5;2X2.36;BOI;S;;ADA;;
